channel_id,channel_title,video_id,cluster_label,Labels,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,N6BghzuFLIg,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,1.333475954,-0.830171128,0,0,0
UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik,LZzq1zSL1bs,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.713531274,-0.266471577,2,0,0
UCZf_9SblvM8iTTkouFEcHtA,Marina Wyss - AI & Machine Learning,VbB9irtpoDc,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.424178502,-0.942051179,2,0,0
UCaDeziWjjPT2Q-Hz4BrmcbA,Natassha Selvaraj,0RkaxgRqegw,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.396502506,1.236478147,2,0,-1
UC9Tl0-lzeDPH4y7LcRwRSQA,Egor Howell,fx5GP00IcHs,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.771900329,-0.1432474,2,0,0
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,61z-8HDO5QQ,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,1.503531668,-1.20326898,0,0,-1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,bQZk18rke2o,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.584070683,-0.464844129,0,0,0
UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,sOZ8MxFw8TQ,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.621829619,-1.35317006,0,0,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,rMvkRQGRjMM,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.960819619,-2.752517342,0,3,-1
UCChmJrVa8kDg05JfCmxpLRw,Darshil Parmar,LxyudhEl8pE,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-0.557933138,-0.124588405,1,1,1
UC-e2aGRMGMl67MDJoqcj19Q,Eye on Tech,UiV7wf36je0,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.815533096,-1.440500561,0,3,0
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,8ZI55Inh1_A,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.161079962,0.182540094,2,1,-1
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,YMnqPTLoj7o,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,1.255933901,-2.143255314,0,3,-1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,fjeIV24tfCg,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-0.928956628,-0.542035197,3,1,1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,PFPt6PQNslE,"Dense, Negative-Sentiment & Poorly Structured Content",Poorly structured,0.031866487,0.733941228,2,0,0
UCuyfszBAd3gUt9vAbC1dfqA,Avery Smith | Data Analyst,sqFY7elv-mI,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-0.058489415,-0.704433884,3,0,0
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,BF9yShzrok0,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.17174437,1.199278243,1,1,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,VwEHYvgK3fs,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.015345677,-0.244971005,3,1,1
